A	B	C	D
IAXXV	1	1	0	0
ZKIWF	1	1	0	0
JCHAL	1	1	0	0
LLRBB	1	1	0	1
FQRXO	1	1	0	0
ESXEO	1	1	1	0
AFFFJ	1	0	0	0
AZYPW	1	0	0	1
ZXRZM	1	1	0	1
KSRMR	1	1	0	0
KQCHM	1	1	0	0
BTEUV	1	1	1	0
STIIE	1	1	0	1
ZTADG	1	0	0	1
XDDVN	1	1	0	0
IBEJJ	1	1	1	0
MLQJX	1	1	1	0
AONCA	1	1	0	0
NJEKH	1	1	0	0
NORJD	1	1	1	0
IQKCE	1	0	1	0
LYVXH	1	1	0	0
QCAUY	1	1	0	0
ECURB	1	1	0	0
AMRFR	1	1	0	0
AIGYV	1	1	0	0
MUOZU	1	1	1	0
ZNMSD	1	1	0	1
FOKQO	1	0	1	0
DLJPV	1	0	0	0
XWYAC	1	0	0	1
IQNUZ	1	1	1	0
QRDTB	1	1	1	0
DBGAR	1	1	1	0
BXGRZ	1	1	0	0
ASYIE	1	0	0	0
MSXAO	1	1	1	0
CUSCZ	1	1	0	0
VMCJT	1	0	0	0
DFLXO	1	0	0	1
GDNSF	1	1	0	0
ZZDKX	1	0	0	0
ZLFGF	1	1	1	0
AJEWT	1	1	0	0
JPZFT	1	1	0	1
GANBL	1	1	1	0
VHGEG	1	1	0	0
CTSTH	1	0	0	0
LWYWO	1	1	0	1
QBEZB	1	1	0	0
GNVEW	1	1	1	0
KALYJ	1	1	0	0
CESAL	1	1	0	0
GDNHZ	1	0	0	1
FUWLT	1	1	0	0
VAOHB	1	0	1	1
AQAPH	1	0	0	1
OFYRD	1	1	0	0
CLDAD	1	1	0	0
VGANU	1	1	0	0
YKQZX	1	1	0	0
CMWJY	1	1	0	0
VHJEG	1	1	0	0
LHCXH	1	1	0	0
GSDVJ	1	1	0	0
BDYVO	1	1	0	1
DNGNE	1	1	1	0
QUJFY	1	1	0	0
DUEXB	1	1	0	0
QLBUI	1	1	0	1
ZVOWO	1	0	0	1
CYYOG	1	0	0	1
JIRUM	1	0	0	0
GRKIV	1	0	1	0
MMXJM	1	1	0	0
JFZYB	1	0	0	0
CSIKB	1	0	0	0
RVHAA	1	1	0	0
SIFZA	1	1	0	1
OOVJK	1	0	0	0
JWHXX	1	1	0	0
QEKBR	1	0	0	1
KLVLA	1	1	0	1
CXTOR	1	0	0	0
LGFRZ	1	1	0	0
GCVLF	1	1	0	1
KBSNR	1	1	0	0
NXRXF	1	0	1	0
TLOPO	1	1	0	0
FNNAL	1	1	1	0
DYKGY	1	1	0	0
HSIOD	1	1	1	0
HHYER	1	1	0	1
PYPMK	1	1	0	0
RQUBC	1	0	1	0
PYVBH	1	1	0	0
LGHNE	1	1	0	1
QGPSO	1	1	1	0
WJIED	1	1	1	0
AVQIT	1	0	0	0
IKUJL	1	1	0	1
QZDWV	1	0	0	0
CKKSD	1	1	0	0
UTEBJ	1	1	1	0
VGQTH	1	1	0	0
JFQWD	1	1	0	0
INHUD	1	1	0	0
FWJHP	1	1	0	0
SRFEG	1	1	0	0
VSDXZ	1	1	0	0
FMMXF	1	1	0	0
YWUBQ	1	1	1	0
MRADV	1	0	0	1
SLCKX	1	1	0	1
XFLRJ	1	1	0	0
OEUYP	1	1	0	0
WSUJV	1	1	0	0
FWAOX	1	1	1	0
KYQCJ	1	0	0	0
XASCI	1	1	1	0
AKPRO	1	1	0	0
MKDTL	1	0	0	0
MQZCS	1	1	0	1
ECCNP	1	1	0	0
QTQPA	1	1	0	1
UVZFW	1	0	0	1
ZGWMH	1	0	0	0
HURJR	1	1	0	1
BRCLH	1	1	0	0
KLCZZ	1	0	0	0
DKCRM	1	1	0	0
YHNZJ	1	0	1	0
BYXPW	1	1	0	0
UPCRI	1	1	1	0
YMZHY	1	1	1	0
SJYSD	1	1	0	1
JGSRH	1	0	0	0
PROOK	1	1	0	1
YKDJJ	1	0	0	0
LEWFY	1	1	0	0
RKTUO	1	1	0	0
YVURJ	1	1	0	0
PQEDB	1	0	0	0
PPLBF	1	1	0	0
MIWUP	1	1	0	0
KFOLH	1	1	1	0
XOHPK	1	1	0	1
UZAAN	1	1	0	1
OKEOU	1	1	0	0
SNODT	1	1	0	0
CSJAK	1	1	1	1
CQZFV	1	1	0	0
OZYEO	1	0	0	0
NHXSU	1	1	0	1
EOYJY	1	0	0	1
TYRCB	1	0	1	0
VTVDU	1	1	0	1
KTNPA	1	0	0	1
WAHYD	1	1	0	0
SCYDF	1	0	0	0
HRMLB	1	0	1	0
YDRQC	1	1	0	0
VLMSM	1	1	1	0
HQJPU	1	1	0	0
UFKRF	1	1	0	1
RNITN	1	1	1	0
RKCNZ	1	0	0	0
MQSOP	1	1	0	0
FGIDE	1	0	1	0
VRVEA	1	0	0	1
MSVCX	1	1	0	0
YBVWX	1	1	0	0
LVNMM	1	1	0	1
KQDTX	1	1	0	0
ANBMZ	1	1	0	0
KSNAQ	1	1	1	1
MODTA	1	1	1	0
LDIEZ	1	0	0	1
HNOGJ	1	1	0	1
EXJIC	1	1	0	0
VRPIJ	1	1	0	0
RJYTP	1	1	0	0
GYPUJ	1	1	0	0
CJTBP	1	0	0	0
ILPDP	1	1	1	1
ZUWNT	1	0	0	0
JRZEK	1	0	0	1
GVLKW	1	1	0	1
DHAYK	1	0	0	0
RXICY	1	1	0	0
DXAUC	1	1	0	0
CAPBY	1	1	1	0
IZMMJ	1	0	0	0
VVTZQ	1	1	0	0
JGFPQ	1	1	0	0
LQOVX	1	1	1	0
QNKAI	1	0	1	1
ZUBEO	1	0	0	0
GRWLE	1	0	0	0
QDGAO	1	1	0	0
LKYNI	1	1	0	1
SYXIL	1	0	0	0
NWAGY	1	1	0	0
WDNQB	1	1	0	0
UBBQG	1	0	0	1
MKGRT	1	1	1	0
DFKGZ	1	1	0	1
WBQQE	1	1	0	0
KRODF	1	1	0	0
SDIWY	1	1	0	0
EBWGK	1	1	0	1
LEZOT	1	1	0	0
OJCTA	1	0	0	1
GRBTF	1	1	0	0
XRHMP	1	1	1	1
BUYPU	1	1	0	0
OENYH	1	1	0	0
RHGQX	1	1	1	1
LNHJS	1	0	0	0
RGFTW	1	1	0	1
ZWXWK	1	0	0	0
MCKGV	1	1	0	1
NTDTD	1	1	1	0
YTLEM	1	1	0	1
CJSRQ	1	1	0	0
TUUIQ	1	1	0	0
GPWTG	1	1	0	1
UCEYZ	1	0	0	1
IWAOM	1	1	0	1
QKXLX	1	1	0	0
EWSVN	1	1	0	0
NKJYP	1	0	0	0
OLFFP	1	1	0	0
XJHIN	1	0	1	0
OWNTW	1	1	0	0
RSFOQ	1	1	0	1
GRPRK	1	1	0	1
QUOSY	1	0	0	1
XOYTS	1	1	0	0
YRUDM	1	1	0	0
FMZYA	1	0	1	0
XLOOY	1	1	0	0
VCKJA	1	1	0	1
HLUHA	0	1	1	0
RQIDN	0	1	0	0
JGNOL	0	1	1	0
FQXLL	0	1	0	0
TCKLE	0	1	0	0
YVITD	0	1	1	0
EIIQK	0	1	0	0
RHRBH	0	1	0	1
JYYPC	0	1	0	0
QOENK	0	1	1	0
SKQAL	0	1	0	0
TSDQI	0	1	1	0
NCLZB	0	1	0	0
EFSWG	0	1	0	1
GWAQJ	0	1	0	0
WZXFY	0	1	1	0
NMTEW	0	1	0	1
HADAS	0	1	0	1
FTHMZ	0	1	0	1
MNETT	0	1	0	0
BKNLO	0	1	0	0
LMBXI	0	1	0	0
JTHEY	0	1	0	0
XRXJP	0	1	0	0
JEEPQ	0	1	0	1
HEEOL	0	1	1	0
JUQAF	0	1	0	0
IHEBF	0	1	0	1
EMZPU	0	1	0	1
WSLIH	0	1	0	0
NPGHB	0	1	0	1
CLZZU	0	1	0	0
QJIOB	0	1	0	1
ETCQK	0	1	0	0
IQQZW	0	1	0	0
KHUNK	0	1	0	1
BGBKL	0	1	0	0
JBHUG	0	1	0	0
HGYOT	0	1	0	0
QOSUE	0	1	0	0
FDKTY	0	1	1	0
EREGJ	0	1	1	1
SSCNM	0	1	0	1
BPCGT	0	1	1	0
EXRAQ	0	1	1	0
WXBYT	0	1	0	0
VGJYO	0	1	0	1
BRFPI	0	1	0	0
WHJFZ	0	1	0	0
YULPA	0	1	0	1
IGAHI	0	1	0	0
IHANO	0	1	0	0
MNKLI	0	1	1	0
HGNMI	0	1	0	0
KUCVT	0	1	0	1
VJEAH	0	1	1	0
WKZGP	0	1	0	1
TPSLI	0	1	0	0
HZSXA	0	1	0	1
QTOZO	0	1	0	0
IMAHR	0	1	0	0
IPCPP	0	1	0	0
ZOLZZ	0	1	1	0
GAYYG	0	1	0	0
XPKSU	0	1	1	0
MWRYK	0	1	0	0
OYGUA	0	1	0	1
SFSZG	0	1	1	0
SVCIA	0	1	1	1
CNVZM	0	1	1	0
RCAFZ	0	1	0	1
NJBIR	0	1	0	0
LVIWG	0	1	1	0
BQNQN	0	1	0	0
FXIEX	0	1	0	0
FQKKE	0	1	0	1
YEBCA	0	1	1	0
WMRDP	0	1	0	0
KBBHK	0	1	0	1
LYVRG	0	1	0	0
ZFCFG	0	1	0	0
XDBLX	0	1	0	0
LVZJU	0	1	1	0
ZNRQA	0	1	0	0
YJOPO	0	1	0	0
LOCTJ	0	1	0	0
RPXUK	0	1	1	1
KJVMH	0	1	0	1
SYNCR	0	1	0	0
VKXFY	0	1	0	0
NSQLK	0	1	1	0
NYPEE	0	1	0	1
SEOQD	0	1	0	0
RKIPC	0	1	0	0
ZTLUP	0	1	0	1
ZYEJG	0	1	0	0
EKUFC	0	1	1	0
MZVFV	0	1	0	1
THKFZ	0	1	0	0
ZFUDG	0	1	0	0
JWSJJ	0	1	0	0
VELGN	0	1	0	0
HEEQF	0	1	0	1
HAAGW	0	1	0	1
JYRJC	0	1	1	0
MTLMR	0	1	0	0
SKEBY	0	1	1	0
YNOWN	0	1	0	1
JBXNU	0	1	1	0
YXTBE	0	1	0	0
ZIWFG	0	1	0	0
YUKOP	0	1	0	0
FWKDI	0	1	0	1
LVMIX	0	1	0	1
LNUEB	0	1	0	0
HFNEH	0	1	1	0
OTWHK	0	1	1	1
ZMJXU	0	1	0	1
LOCHG	0	1	0	1
UGLPW	0	1	0	0
HWAGZ	0	1	0	0
YPWTS	0	1	0	1
AZELO	0	1	0	0
XZKXO	0	1	0	0
QJNKX	0	1	0	1
ZLVJS	0	1	0	0
NRMGT	0	1	0	0
DZAPC	0	1	0	1
YDSJV	0	1	0	1
LTCJM	0	1	0	0
XSWCM	0	1	0	0
NBFPJ	0	1	0	0
ZWMHV	0	1	0	1
NMZXF	0	1	0	0
JZOLY	0	1	0	1
WFNGD	0	1	1	1
VBYHW	0	1	0	0
EHCCW	0	1	1	1
LBBAO	0	1	0	1
TIRZY	0	1	0	0
FECMG	0	1	0	0
QMJEE	0	1	0	0
NBUUB	0	1	1	0
RMTXV	0	1	1	0
ACPDM	0	1	0	1
RULYH	0	1	0	0
AAEJN	0	1	0	0
SCREK	0	1	0	0
GRZFJ	0	1	0	0
CTABT	0	1	0	0
MJHVS	0	1	0	0
FXESQ	0	1	0	0
XPJBS	0	1	0	1
YVWAK	0	1	0	0
JHYHH	0	1	1	0
FTDSZ	0	1	1	0
TLODH	0	1	0	0
GQGWJ	0	1	1	0
BNOMI	0	1	0	1
MFDZQ	0	1	0	0
KPAWP	0	1	1	0
RCFLW	0	1	0	1
LOXKQ	0	1	0	0
XKGWG	0	1	1	0
UIVIA	0	1	0	1
USTXG	0	1	0	0
OXJSU	0	1	0	0
HDGJE	0	1	0	1
NDYMN	0	1	1	0
KHZJD	0	1	1	0
RLIIH	0	1	1	0
SELVR	0	1	1	0
PQGMQ	0	1	1	1
BXZDN	0	1	0	1
SSICZ	0	1	0	0
PPVUL	0	1	1	0
VRTRM	0	1	0	0
CQZDA	0	1	0	1
QAGRN	0	1	1	1
LCMQT	0	1	0	0
POMDY	0	1	1	0
EOYTZ	0	1	1	1
CCMQO	0	1	0	1
IDYFL	0	1	0	1
LGGEQ	0	1	0	0
JTJUA	0	1	0	0
VCZAM	0	1	0	0
APSMF	0	1	0	1
UTHQT	0	1	0	0
UULDG	0	1	0	0
LARYU	0	1	1	1
JZYQB	0	1	0	0
YDKPM	0	1	0	0
ZFJIO	0	1	0	1
SHQBX	0	1	1	1
KLYNV	0	1	0	0
BQBCD	0	1	1	0
EFTAB	0	1	1	0
FNPUF	0	1	0	0
TQPUX	0	1	0	0
AOHFD	0	1	1	0
GGENF	0	1	0	1
KYRVN	0	1	0	0
HLMDD	0	1	0	0
YKCTV	0	1	1	1
TVEFG	0	1	1	0
GXGLS	0	1	0	1
TXZYM	0	1	0	1
SOHYH	0	1	0	0
YONAJ	0	1	0	1
TBIEY	0	1	0	1
BYBPB	0	1	0	1
WPLBO	0	1	0	1
ZFKVJ	0	1	1	0
YXYHT	0	1	0	0
QPXOA	0	1	0	0
RZXIG	0	1	0	0
FQHJL	0	1	0	0
IRGWL	0	1	0	1
DHZIV	0	1	1	0
NWNNG	0	1	0	0
JVXID	0	1	0	0
NSHMS	0	1	0	1
NENKP	0	1	0	0
ASRUJ	0	1	0	0
YPTMT	0	1	0	0
NHDMJ	0	1	0	1
KJAYK	0	1	0	0
UALFD	0	1	0	0
XUPAU	0	1	1	0
AQIJB	0	1	0	1
TWYFM	0	1	0	0
SVFHY	0	1	0	1
KPSFW	0	1	0	0
YSKXI	0	1	0	0
QLVSG	0	1	0	1
OLHMN	0	1	0	0
IHOWK	0	1	0	0
NKTXN	0	1	0	0
HPYRT	0	1	1	0
UYBRZ	0	1	1	1
WOBGD	0	1	0	0
KOYDY	0	1	0	0
NVOGI	0	1	1	1
KCBWN	0	1	0	0
PLRZO	0	1	0	0
EUAYR	0	1	1	0
GUHCY	0	1	1	0
ZPQUT	0	1	1	0
GTYNW	0	1	0	0
NPFZL	0	1	0	0
ISDMK	0	1	0	0
VRRNN	0	1	0	0
XLKUH	0	1	0	0
GMBFC	0	1	0	0
ELFZC	0	1	0	0
AOLIV	0	1	0	0
JNDUO	0	1	0	0
OTKVG	0	1	0	1
VUSTE	0	1	0	0
WMFNA	0	1	0	0
ATIYF	0	1	0	0
RKYGP	0	1	0	0
AUIVM	0	1	0	0
RTPEW	0	1	1	0
COZHV	0	1	0	0
LZZCO	0	1	0	0
PTXIR	0	1	1	0
ZSAUF	0	1	0	1
LRCTK	0	1	1	1
SARMV	0	1	0	0
RRCQK	0	1	1	0
HFYVO	0	1	1	1
ADXEM	0	1	0	0
VNGMA	0	1	0	0
KAUYQ	0	1	0	0
ZZHDL	0	1	0	1
ZWDPJ	0	1	1	0
XXLSD	0	1	0	1
GKHHQ	0	1	0	0
QISFB	0	1	0	1
VWASZ	0	1	1	0
GXVFW	0	1	0	0
PYOUH	0	1	1	0
ZQRTN	0	1	0	0
JSMKM	0	1	1	0
XMYQI	0	1	0	0
IOQXR	0	1	1	0
YGSNQ	0	1	0	0
CRFZY	0	1	0	0
OVNTG	0	1	0	0
NZIMJ	0	1	0	1
ZMJUF	0	1	0	1
WTILB	0	1	0	0
OVSZR	0	1	0	0
HAZGF	0	1	0	0
XYHDU	0	1	0	0
TPPXM	0	1	0	0
AUHTZ	0	1	0	1
MDYMY	0	1	1	1
EFEDR	0	1	0	0
SGLDF	0	1	0	1
RTJTE	0	1	1	0
WNBGV	0	1	0	1
RTGYP	0	1	0	0
YFNOZ	0	1	1	1
ZJKGM	0	1	1	0
WHMEW	0	1	0	0
MIFEK	0	1	0	1
FJWKQ	0	1	0	1
SFJIJ	0	1	0	1
NNBGU	0	1	1	1
TNRAB	0	1	1	0
YACOQ	0	1	0	0
WTYXE	0	1	0	1
NNIMA	0	1	0	1
CUAEM	0	1	0	0
YMDOF	0	1	1	0
SWDGD	0	1	1	1
WHUQM	0	1	0	1
KKMLV	0	1	1	0
IARXB	0	1	1	0
HJUYR	0	1	1	1
WYDZD	0	1	1	0
ADEYM	0	1	0	0
LKJDP	0	1	0	1
QURVY	0	1	0	1
VGUQB	0	1	1	0
GCFMJ	0	1	0	0
KWNID	0	1	0	0
KDZHK	0	1	0	0
SOKJO	0	1	0	1
SCEMK	0	1	0	0
OCSIS	0	1	1	1
TCSCY	0	1	0	0
ZLIHZ	0	1	1	1
FEQMN	0	1	0	0
YYAGU	0	1	0	0
OHWJX	0	1	1	1
CTHAK	0	1	1	0
XQHBX	0	1	0	0
OFWCH	0	1	0	1
CWNHI	0	1	0	0
OELRK	0	1	1	0
XOULI	0	1	0	1
CIOHT	0	1	0	0
SEEQO	0	1	0	0
IVLFL	0	1	0	0
QLINO	0	1	1	0
ZTRGB	0	1	0	0
WVQYZ	0	1	1	1
JLXUT	0	1	0	1
UOCUO	0	1	0	0
YGLSX	0	1	0	0
UGPZM	0	1	0	1
DZPVA	0	1	0	0
YBAHF	0	1	1	0
GQNLT	0	1	1	0
HQIOG	0	1	0	0
KNZDP	0	1	1	0
DPOSX	0	1	1	0
QCPVB	0	1	0	0
GZONR	0	1	0	0
YUZXR	0	1	1	0
YGEVJ	0	1	0	0
LQZVN	0	1	0	0
NRBZA	0	1	0	1
ZQDKX	0	1	0	0
PGDBE	0	1	0	0
QNRZN	0	1	0	1
MTNOI	0	1	0	1
YTYRI	0	1	0	0
EGDXB	0	1	1	0
OOGBY	0	1	0	0
QIVBQ	0	1	0	0
ZPPEP	0	1	0	1
OGAPN	0	1	0	1
KPVZW	0	1	0	0
LOLFC	0	1	1	1
ESCIY	0	1	1	0
RQSQD	0	1	0	1
DLUZT	0	1	1	0
KNTBA	0	1	0	0
FKMCN	0	1	0	0
DFIEB	0	1	0	0
ZMBQV	0	1	0	0
JRGKQ	0	1	0	1
DOCQR	0	1	0	0
OGKAI	0	1	0	0
KUYHV	0	1	0	0
QRUCI	0	1	0	1
UFDHK	0	1	1	0
HXJNT	0	1	0	0
BWTSY	0	1	1	1
BGLMR	0	1	0	0
MUOCO	0	1	0	0
BISND	0	1	0	0
DPWGQ	0	1	1	0
YDPZO	0	1	0	0
DDKFS	0	1	1	1
UGCDR	0	1	1	1
QDKMK	0	1	0	0
UAKKL	0	1	1	0
VWTNZ	0	1	1	0
SRVGS	0	1	0	0
XIHOD	0	1	0	0
EQXCE	0	1	0	0
PQDHT	0	1	0	1
ISULG	0	1	0	0
GZBCN	0	1	1	0
EZRWG	0	1	1	0
ZEUVY	0	1	0	0
NMYAS	0	1	0	0
HEIHQ	0	1	0	1
TZDLW	0	1	0	1
KTCKR	0	1	1	0
RTTQE	0	1	0	1
VDTJO	0	1	1	0
ORTBA	0	1	0	0
HLDUU	0	1	0	0
TFGZU	0	1	0	1
XMVOP	0	1	0	1
HLOZK	0	1	0	0
EZRQL	0	1	1	1
ZYAGW	0	1	0	0
QKTEB	0	1	1	0
LCYPH	0	1	0	0
CQGNH	0	1	0	0
HZFYM	0	1	0	0
GVGDK	0	1	0	1
EXDDC	0	1	1	0
GLGMH	0	1	0	1
CQPQW	0	1	0	0
HUWYH	0	1	0	1
JSEFJ	0	1	1	1
QWGYR	0	1	0	0
EOARI	0	1	0	0
DDVFE	0	1	1	0
YZZYV	0	1	0	0
LSAZI	0	1	0	0
IBRUI	0	1	1	0
BHRQO	0	1	0	0
OCRGM	0	1	0	0
CCNSC	0	1	0	1
KAGID	0	1	1	0
OXNYK	0	1	0	0
XFZHN	0	1	1	1
UDRNS	0	1	0	0
OQWYF	0	1	1	1
SINBO	0	1	0	0
UVIAJ	0	1	0	0
GBZDE	0	1	1	0
FAPAS	0	1	0	1
VLONF	0	1	0	1
RGPOB	0	1	0	0
TUKPZ	0	1	0	0
XVNLY	0	1	0	0
UFDZI	0	1	0	0
JLERX	0	1	1	0
XTXQC	0	1	0	1
BHJCM	0	1	0	1
SGHMF	0	0	1	1
RWZGR	0	0	1	0
PGRAV	0	0	1	0
FARCA	0	0	1	0
EGQPY	0	0	1	0
SESCY	0	0	1	0
AYMGT	0	0	1	0
DBIVX	0	0	1	0
KNQIB	0	0	1	0
ARBTI	0	0	1	1
ZZYOJ	0	0	1	0
LVNWT	0	0	1	0
KZDSB	0	0	1	0
KLVXD	0	0	1	1
RGLOO	0	0	1	0
VHVGI	0	0	1	0
IEDLB	0	0	1	0
BOLOS	0	0	1	0
AYVEK	0	0	1	0
QVVCC	0	0	1	1
PHEAY	0	0	1	0
BHHMC	0	0	1	1
QOKJN	0	0	1	0
CUNXU	0	0	1	0
EZRZA	0	0	1	1
HJWJW	0	0	1	0
CJKKG	0	0	1	0
DKQBO	0	0	1	0
BTSTE	0	0	1	0
WEJKO	0	0	1	0
POTDK	0	0	1	1
HLHSV	0	0	1	1
PHXAP	0	0	1	0
MKFRJ	0	0	1	0
BGZRU	0	0	1	1
XNCFK	0	0	1	0
WTSGR	0	0	1	0
YRYQH	0	0	1	1
GUZYT	0	0	1	0
KXXAY	0	0	0	1
MHBLO	0	0	0	1
RYDRW	0	0	0	1
MDNDM	0	0	0	1
TOQXY	0	0	0	1
QDCKB	0	0	0	1
JSSEX	0	0	0	1
MWGXC	0	0	0	1
POHRJ	0	0	0	1
IDKHU	0	0	0	1
TRBZU	0	0	0	1
KBKOV	0	0	0	1
EYDYH	0	0	0	1
GTOCD	0	0	0	1
SCNLN	0	0	0	1
YMLAO	0	0	0	1
NIYVN	0	0	0	1
GQKUD	0	0	0	1
DNCUS	0	0	0	1
XWVBQ	0	0	0	1
QYVBK	0	0	0	1
JORRV	0	0	0	1
OKTEP	0	0	0	1
YQSMW	0	0	0	1
OFRHE	0	0	0	1
LXAOW	0	0	0	1
JKGOY	0	0	0	1
ZJDOL	0	0	0	1
CEQPB	0	0	0	1
GDYVE	0	0	0	1
WBIAG	0	0	0	1
