sex	weight
200	F	52.9217624581126
201	M	58.4852268205693
202	M	58.6967687785649
203	M	58.1855139155831
204	M	58.7007335155445
205	M	58.3116810286614
206	M	58.7604623619678
207	M	59.8424636262077
208	M	59.1123628412626
209	M	58.0326639575014
210	M	56.8855510352026
211	M	58.4180578223851
212	M	57.5997647626568
213	M	59.4934931026175
214	M	56.3929190601503
215	M	57.5842482115985
216	M	58.4220083732174
217	M	57.848263463465
218	M	57.3938488847358
219	M	57.6952789310333
220	M	58.6295360998845
221	M	58.8951719802755
222	M	58.6602126318204
223	M	60.2734835204475
224	M	59.1734975726324
225	M	58.2877097283138
226	M	57.3402299061787
227	M	60.9191401307176
228	M	58.6774155004383
229	M	57.315679655864
230	M	58.186492083081
231	M	57.6756066995163
232	M	57.7252957817742
233	M	57.0664966594101
234	M	58.1168453449861
235	M	58.3191602386481
236	M	56.9224578772406
237	M	54.7668478670769
238	M	57.7451253473455
239	M	58.0295178303215
240	M	58.5942737741105
241	M	58.0591351681788
242	M	58.413398894737
243	M	56.9022278254296
244	M	58.7111752572704
245	M	58.7188887298541
246	M	58.251651069029
247	M	59.3572744361518
248	M	58.4044684712786
249	M	58.2643642698379
250	M	58.2680439041437
251	M	58.4369305770395
252	M	59.0601239054874
253	M	58.4521903965287
254	M	58.6631986156871
255	M	56.8636264460092
256	M	57.6295024829079
257	M	59.4769695897925
258	M	56.7760962494862
259	M	58.2580683873961
260	M	58.4050028054335
261	M	58.9758033218095
262	M	57.6511232634601
263	M	58.1586254394913
264	M	56.2367449334588
265	M	58.3385960470999
266	M	57.3334349704407
267	M	57.7613533756724
268	M	56.8122347175428
269	M	58.3849353217686
270	M	58.6665795156545
271	M	57.6953861105423
272	M	59.8250110640863
273	M	58.6705593705676
274	M	58.9486325732552
275	M	60.0494030016709
276	M	57.3488863907625
277	M	58.8086192728463
278	M	58.9865806139546
279	M	57.9938292039093
280	M	58.3190523579319
281	M	56.9881780972582
282	M	58.4701675477264
283	M	57.2990296683709
284	M	58.8136828625265
285	M	57.1885692160072
286	M	58.3193974870995
287	M	57.1534773468364
288	M	57.7542368208713
289	M	56.4471409888945
290	M	58.1284340329258
291	M	58.9854433894049
292	M	58.1832475230672
293	M	56.2337707865695
294	M	57.3794663033841
295	M	59.6560430369987
296	M	59.8098053855839
297	M	56.8249632319879
298	M	57.6332967411724
299	M	58.3536254489273
300	M	58.3191562208679
301	M	57.4200430109806
302	M	57.0467212980531
303	M	57.8205714130544
304	M	59.0098082149443
305	M	58.0236266149214
306	M	57.3509717804161
307	M	57.4956257779518
308	M	59.6143914954584
309	M	57.5530401887443
310	M	58.7631767611133
311	M	59.4717186861858
312	M	58.4436649036874
313	M	57.5782781299298
314	M	57.9599983737939
315	M	57.5077200317721
316	M	59.2277171173127
317	M	57.8504464347556
318	M	59.5499833839825
319	M	57.4383874646187
320	M	57.3528827493676
321	M	58.1431321590504
322	M	58.0241886479911
323	M	57.4955484754191
324	M	56.4186031900697
325	M	58.0300664212554
326	M	57.2834233009293
327	M	59.0826109554761
328	M	57.0473145450607
329	M	59.1264827290092
330	M	57.3509569826209
331	M	58.2924700784067
332	M	58.8987027244027
333	M	57.4812576432081
334	M	58.5544385523451
335	M	57.912026328816
336	M	56.8647870705925
337	M	57.7299203890001
338	M	59.6197898775349
339	M	57.7858688263034
340	M	57.182217537075
341	M	57.9459770759184
342	M	58.3301416098579
343	M	58.9553246146574
344	M	59.1439598777924
345	M	58.1005223983751
346	M	59.1645752456574
347	M	57.2357400522009
348	M	55.6554865953097
349	M	57.5283165744705
350	M	57.4841445104926
351	M	55.6839638484974
352	M	58.5624717569695
353	M	57.2162248605776
354	M	57.7739460137718
355	M	56.412897012346
356	M	58.5475242018683
357	M	59.8912270173555
358	M	57.121922889776
359	M	57.8874410889552
360	M	59.948713064976
361	M	58.9338163322077
362	M	59.913059421697
363	M	57.9947659420681
364	M	57.8477399510784
365	M	57.4903683428209
366	M	59.4345737034261
367	M	56.714161467667
368	M	58.307314215255
369	M	57.9536814667226
370	M	60.2518418001269
371	M	57.3919662713903
372	M	56.490711830149
373	M	58.2326317695086
374	M	57.9603513039489
375	M	57.1608749324947
376	M	58.1322910882442
377	M	57.7244752532941
378	M	57.321241358732
379	M	58.5008359317758
380	M	57.6683376879932
381	M	56.1650197492275
382	M	55.3482587516273
383	M	57.4194178279156
384	M	59.4541868708712
385	M	58.8381293799647
386	M	59.2150535804461
387	M	58.9825054427328
388	M	58.3157640240184
389	M	56.4929373722837
390	M	58.2055697871663
391	M	59.5972280903438
392	M	54.6039364654256
393	M	57.2186477156979
394	M	59.1024646407519
395	M	58.5287450194453
396	M	58.7893944035149
397	M	58.4570995058561
398	M	58.5388331156581
399	M	58.0146431224111
400	M	57.0835108642969
