sex	ageYear	ageMonth	heightIn	weightLb
m	12.67	152	60.8	97
m	12.17	146	55	71.5
m	11.58	139	55	73.5
m	15.5	186	66.5	112
m	13.42	161	56.8	75
m	12.75	153	64.8	128
m	16.33	196	64.5	98
m	13.67	164	58	84
m	13.25	159	62.8	99
m	14.83	178	63.8	112
m	12.75	153	57.8	79.5
m	12.92	155	57.3	80.5
m	14.83	178	63.5	102.5
m	11.83	142	55	76
m	13.67	164	66.5	112
m	15.75	189	65	114
m	13.67	164	61.5	140
m	13.92	167	62	107.5
m	12.58	151	59.3	87
