feature	sample	value
1122	DBGAR	B	1
1123	BXGRZ	B	1
1125	MSXAO	B	1
1126	CUSCZ	B	1
1129	GDNSF	B	1
1131	ZLFGF	B	1
1132	AJEWT	B	1
1133	JPZFT	B	1
1134	GANBL	B	1
1135	VHGEG	B	1
1137	LWYWO	B	1
1138	QBEZB	B	1
1139	GNVEW	B	1
1140	KALYJ	B	1
1141	CESAL	B	1
1143	FUWLT	B	1
1146	OFYRD	B	1
1147	CLDAD	B	1
1148	VGANU	B	1
1149	YKQZX	B	1
1150	CMWJY	B	1
1151	VHJEG	B	1
1152	LHCXH	B	1
1153	GSDVJ	B	1
1154	BDYVO	B	1
1155	DNGNE	B	1
1156	QUJFY	B	1
1157	DUEXB	B	1
1158	QLBUI	B	1
1163	MMXJM	B	1
1166	RVHAA	B	1
1167	SIFZA	B	1
1169	JWHXX	B	1
1171	KLVLA	B	1
1173	LGFRZ	B	1
1174	GCVLF	B	1
1175	KBSNR	B	1
1177	TLOPO	B	1
1178	FNNAL	B	1
1179	DYKGY	B	1
1180	HSIOD	B	1
1181	HHYER	B	1
1182	PYPMK	B	1
1184	PYVBH	B	1
1185	LGHNE	B	1
1186	QGPSO	B	1
1187	WJIED	B	1
1189	IKUJL	B	1
1191	CKKSD	B	1
1192	UTEBJ	B	1
1193	VGQTH	B	1
1194	JFQWD	B	1
1195	INHUD	B	1
1196	FWJHP	B	1
1197	SRFEG	B	1
1198	VSDXZ	B	1
1199	FMMXF	B	1
1200	YWUBQ	B	1
1202	SLCKX	B	1
1203	XFLRJ	B	1
1204	OEUYP	B	1
1205	WSUJV	B	1
1206	FWAOX	B	1
1208	XASCI	B	1
1209	AKPRO	B	1
1211	MQZCS	B	1
1212	ECCNP	B	1
1213	QTQPA	B	1
1216	HURJR	B	1
1217	BRCLH	B	1
1219	DKCRM	B	1
1221	BYXPW	B	1
1222	UPCRI	B	1
1223	YMZHY	B	1
1224	SJYSD	B	1
1226	PROOK	B	1
1228	LEWFY	B	1
1229	RKTUO	B	1
1230	YVURJ	B	1
1232	PPLBF	B	1
1233	MIWUP	B	1
1234	KFOLH	B	1
1235	XOHPK	B	1
1236	UZAAN	B	1
1237	OKEOU	B	1
1238	SNODT	B	1
1239	CSJAK	B	1
1240	CQZFV	B	1
1242	NHXSU	B	1
1245	VTVDU	B	1
1247	WAHYD	B	1
1250	YDRQC	B	1
1251	VLMSM	B	1
1252	HQJPU	B	1
1253	UFKRF	B	1
1254	RNITN	B	1
1256	MQSOP	B	1
1259	MSVCX	B	1
1260	YBVWX	B	1
1261	LVNMM	B	1
1262	KQDTX	B	1
1263	ANBMZ	B	1
1264	KSNAQ	B	1
1265	MODTA	B	1
1267	HNOGJ	B	1
1268	EXJIC	B	1
1269	VRPIJ	B	1
1270	RJYTP	B	1
1271	GYPUJ	B	1
1273	ILPDP	B	1
1276	GVLKW	B	1
1278	RXICY	B	1
1279	DXAUC	B	1
1280	CAPBY	B	1
1282	VVTZQ	B	1
1283	JGFPQ	B	1
1284	LQOVX	B	1
1288	QDGAO	B	1
1289	LKYNI	B	1
1291	NWAGY	B	1
1292	WDNQB	B	1
1294	MKGRT	B	1
1295	DFKGZ	B	1
1296	WBQQE	B	1
1297	KRODF	B	1
1298	SDIWY	B	1
1299	EBWGK	B	1
1300	LEZOT	B	1
1302	GRBTF	B	1
1303	XRHMP	B	1
1304	BUYPU	B	1
1305	OENYH	B	1
1306	RHGQX	B	1
1308	RGFTW	B	1
1310	MCKGV	B	1
1311	NTDTD	B	1
1312	YTLEM	B	1
1313	CJSRQ	B	1
1314	TUUIQ	B	1
1315	GPWTG	B	1
1317	IWAOM	B	1
1318	QKXLX	B	1
1319	EWSVN	B	1
1321	OLFFP	B	1
1323	OWNTW	B	1
1324	RSFOQ	B	1
1325	GRPRK	B	1
1327	XOYTS	B	1
1328	YRUDM	B	1
1330	XLOOY	B	1
1331	VCKJA	B	1
1332	HLUHA	B	1
1333	RQIDN	B	1
1334	JGNOL	B	1
1335	FQXLL	B	1
1336	TCKLE	B	1
1337	YVITD	B	1
1338	EIIQK	B	1
1339	RHRBH	B	1
1340	JYYPC	B	1
1341	QOENK	B	1
1342	SKQAL	B	1
1343	TSDQI	B	1
1344	NCLZB	B	1
1345	EFSWG	B	1
1346	GWAQJ	B	1
1347	WZXFY	B	1
1348	NMTEW	B	1
1349	HADAS	B	1
1350	FTHMZ	B	1
1351	MNETT	B	1
1352	BKNLO	B	1
1353	LMBXI	B	1
1354	JTHEY	B	1
1355	XRXJP	B	1
1356	JEEPQ	B	1
1357	HEEOL	B	1
1358	JUQAF	B	1
1359	IHEBF	B	1
1360	EMZPU	B	1
1361	WSLIH	B	1
1362	NPGHB	B	1
1363	CLZZU	B	1
1364	QJIOB	B	1
1365	ETCQK	B	1
1366	IQQZW	B	1
1367	KHUNK	B	1
1368	BGBKL	B	1
1369	JBHUG	B	1
1370	HGYOT	B	1
1371	QOSUE	B	1
1372	FDKTY	B	1
1373	EREGJ	B	1
1374	SSCNM	B	1
1375	BPCGT	B	1
1376	EXRAQ	B	1
1377	WXBYT	B	1
1378	VGJYO	B	1
1379	BRFPI	B	1
1380	WHJFZ	B	1
1381	YULPA	B	1
1382	IGAHI	B	1
1383	IHANO	B	1
1384	MNKLI	B	1
1385	HGNMI	B	1
1386	KUCVT	B	1
1387	VJEAH	B	1
1388	WKZGP	B	1
1389	TPSLI	B	1
1390	HZSXA	B	1
1391	QTOZO	B	1
1392	IMAHR	B	1
1393	IPCPP	B	1
1394	ZOLZZ	B	1
1395	GAYYG	B	1
1396	XPKSU	B	1
1397	MWRYK	B	1
1398	OYGUA	B	1
1399	SFSZG	B	1
1400	SVCIA	B	1
1401	CNVZM	B	1
1402	RCAFZ	B	1
1403	NJBIR	B	1
1404	LVIWG	B	1
1405	BQNQN	B	1
1406	FXIEX	B	1
1407	FQKKE	B	1
1408	YEBCA	B	1
1409	WMRDP	B	1
1410	KBBHK	B	1
1411	LYVRG	B	1
1412	ZFCFG	B	1
1413	XDBLX	B	1
1414	LVZJU	B	1
1415	ZNRQA	B	1
1416	YJOPO	B	1
1417	LOCTJ	B	1
1418	RPXUK	B	1
1419	KJVMH	B	1
1420	SYNCR	B	1
1421	VKXFY	B	1
1422	NSQLK	B	1
1423	NYPEE	B	1
1424	SEOQD	B	1
1425	RKIPC	B	1
1426	ZTLUP	B	1
1427	ZYEJG	B	1
1428	EKUFC	B	1
1429	MZVFV	B	1
1430	THKFZ	B	1
1431	ZFUDG	B	1
1432	JWSJJ	B	1
1433	VELGN	B	1
1434	HEEQF	B	1
1435	HAAGW	B	1
1436	JYRJC	B	1
1437	MTLMR	B	1
1438	SKEBY	B	1
1439	YNOWN	B	1
1440	JBXNU	B	1
1441	YXTBE	B	1
1442	ZIWFG	B	1
1443	YUKOP	B	1
1444	FWKDI	B	1
1445	LVMIX	B	1
1446	LNUEB	B	1
1447	HFNEH	B	1
1448	OTWHK	B	1
1449	ZMJXU	B	1
1450	LOCHG	B	1
1451	UGLPW	B	1
1452	HWAGZ	B	1
1453	YPWTS	B	1
1454	AZELO	B	1
1455	XZKXO	B	1
1456	QJNKX	B	1
1457	ZLVJS	B	1
1458	NRMGT	B	1
1459	DZAPC	B	1
1460	YDSJV	B	1
1461	LTCJM	B	1
1462	XSWCM	B	1
1463	NBFPJ	B	1
1464	ZWMHV	B	1
1465	NMZXF	B	1
1466	JZOLY	B	1
1467	WFNGD	B	1
1468	VBYHW	B	1
1469	EHCCW	B	1
1470	LBBAO	B	1
1471	TIRZY	B	1
1472	FECMG	B	1
1473	QMJEE	B	1
1474	NBUUB	B	1
1475	RMTXV	B	1
1476	ACPDM	B	1
1477	RULYH	B	1
1478	AAEJN	B	1
1479	SCREK	B	1
1480	GRZFJ	B	1
1481	CTABT	B	1
1482	MJHVS	B	1
1483	FXESQ	B	1
1484	XPJBS	B	1
1485	YVWAK	B	1
1486	JHYHH	B	1
1487	FTDSZ	B	1
1488	TLODH	B	1
1489	GQGWJ	B	1
1490	BNOMI	B	1
1491	MFDZQ	B	1
1492	KPAWP	B	1
1493	RCFLW	B	1
1494	LOXKQ	B	1
1495	XKGWG	B	1
1496	UIVIA	B	1
1497	USTXG	B	1
1498	OXJSU	B	1
1499	HDGJE	B	1
1500	NDYMN	B	1
1501	KHZJD	B	1
1502	RLIIH	B	1
1503	SELVR	B	1
1504	PQGMQ	B	1
1505	BXZDN	B	1
1506	SSICZ	B	1
1507	PPVUL	B	1
1508	VRTRM	B	1
1509	CQZDA	B	1
1510	QAGRN	B	1
1511	LCMQT	B	1
1512	POMDY	B	1
1513	EOYTZ	B	1
1514	CCMQO	B	1
1515	IDYFL	B	1
1516	LGGEQ	B	1
1517	JTJUA	B	1
1518	VCZAM	B	1
1519	APSMF	B	1
1520	UTHQT	B	1
1521	UULDG	B	1
1522	LARYU	B	1
1523	JZYQB	B	1
1524	YDKPM	B	1
1525	ZFJIO	B	1
1526	SHQBX	B	1
1527	KLYNV	B	1
1528	BQBCD	B	1
1529	EFTAB	B	1
1530	FNPUF	B	1
1531	TQPUX	B	1
1532	AOHFD	B	1
1533	GGENF	B	1
1534	KYRVN	B	1
1535	HLMDD	B	1
1536	YKCTV	B	1
1537	TVEFG	B	1
1538	GXGLS	B	1
1539	TXZYM	B	1
1540	SOHYH	B	1
1541	YONAJ	B	1
1542	TBIEY	B	1
1543	BYBPB	B	1
1544	WPLBO	B	1
1545	ZFKVJ	B	1
1546	YXYHT	B	1
1547	QPXOA	B	1
1548	RZXIG	B	1
1549	FQHJL	B	1
1550	IRGWL	B	1
1551	DHZIV	B	1
1552	NWNNG	B	1
1553	JVXID	B	1
1554	NSHMS	B	1
1555	NENKP	B	1
1556	ASRUJ	B	1
1557	YPTMT	B	1
1558	NHDMJ	B	1
1559	KJAYK	B	1
1560	UALFD	B	1
1561	XUPAU	B	1
1562	AQIJB	B	1
1563	TWYFM	B	1
1564	SVFHY	B	1
1565	KPSFW	B	1
1566	YSKXI	B	1
1567	QLVSG	B	1
1568	OLHMN	B	1
1569	IHOWK	B	1
1570	NKTXN	B	1
1571	HPYRT	B	1
1572	UYBRZ	B	1
1573	WOBGD	B	1
1574	KOYDY	B	1
1575	NVOGI	B	1
1576	KCBWN	B	1
1577	PLRZO	B	1
1578	EUAYR	B	1
1579	GUHCY	B	1
1580	ZPQUT	B	1
1581	GTYNW	B	1
1582	NPFZL	B	1
1583	ISDMK	B	1
1584	VRRNN	B	1
1585	XLKUH	B	1
1586	GMBFC	B	1
1587	ELFZC	B	1
1588	AOLIV	B	1
1589	JNDUO	B	1
1590	OTKVG	B	1
1591	VUSTE	B	1
1592	WMFNA	B	1
1593	ATIYF	B	1
1594	RKYGP	B	1
1595	AUIVM	B	1
1596	RTPEW	B	1
1597	COZHV	B	1
1598	LZZCO	B	1
1599	PTXIR	B	1
1600	ZSAUF	B	1
1601	LRCTK	B	1
1602	SARMV	B	1
1603	RRCQK	B	1
1604	HFYVO	B	1
1605	ADXEM	B	1
1606	VNGMA	B	1
1607	KAUYQ	B	1
1608	ZZHDL	B	1
1609	ZWDPJ	B	1
1610	XXLSD	B	1
1611	GKHHQ	B	1
1612	QISFB	B	1
1613	VWASZ	B	1
1614	GXVFW	B	1
1615	PYOUH	B	1
1616	ZQRTN	B	1
1617	JSMKM	B	1
1618	XMYQI	B	1
1619	IOQXR	B	1
1620	YGSNQ	B	1
1621	CRFZY	B	1
1622	OVNTG	B	1
1623	NZIMJ	B	1
1624	ZMJUF	B	1
1625	WTILB	B	1
1626	OVSZR	B	1
1627	HAZGF	B	1
1628	XYHDU	B	1
1629	TPPXM	B	1
1630	AUHTZ	B	1
1631	MDYMY	B	1
1632	EFEDR	B	1
1633	SGLDF	B	1
1634	RTJTE	B	1
1635	WNBGV	B	1
1636	RTGYP	B	1
1637	YFNOZ	B	1
1638	ZJKGM	B	1
1639	WHMEW	B	1
1640	MIFEK	B	1
1641	FJWKQ	B	1
1642	SFJIJ	B	1
1643	NNBGU	B	1
1644	TNRAB	B	1
1645	YACOQ	B	1
1646	WTYXE	B	1
1647	NNIMA	B	1
1648	CUAEM	B	1
1649	YMDOF	B	1
1650	SWDGD	B	1
1651	WHUQM	B	1
1652	KKMLV	B	1
1653	IARXB	B	1
1654	HJUYR	B	1
1655	WYDZD	B	1
1656	ADEYM	B	1
1657	LKJDP	B	1
1658	QURVY	B	1
1659	VGUQB	B	1
1660	GCFMJ	B	1
1661	KWNID	B	1
1662	KDZHK	B	1
1663	SOKJO	B	1
1664	SCEMK	B	1
1665	OCSIS	B	1
1666	TCSCY	B	1
1667	ZLIHZ	B	1
1668	FEQMN	B	1
1669	YYAGU	B	1
1670	OHWJX	B	1
1671	CTHAK	B	1
1672	XQHBX	B	1
1673	OFWCH	B	1
1674	CWNHI	B	1
1675	OELRK	B	1
1676	XOULI	B	1
1677	CIOHT	B	1
1678	SEEQO	B	1
1679	IVLFL	B	1
1680	QLINO	B	1
1681	ZTRGB	B	1
1682	WVQYZ	B	1
1683	JLXUT	B	1
1684	UOCUO	B	1
1685	YGLSX	B	1
1686	UGPZM	B	1
1687	DZPVA	B	1
1688	YBAHF	B	1
1689	GQNLT	B	1
1690	HQIOG	B	1
1691	KNZDP	B	1
1692	DPOSX	B	1
1693	QCPVB	B	1
1694	GZONR	B	1
1695	YUZXR	B	1
1696	YGEVJ	B	1
1697	LQZVN	B	1
1698	NRBZA	B	1
1699	ZQDKX	B	1
1700	PGDBE	B	1
1701	QNRZN	B	1
1702	MTNOI	B	1
1703	YTYRI	B	1
1704	EGDXB	B	1
1705	OOGBY	B	1
1706	QIVBQ	B	1
1707	ZPPEP	B	1
1708	OGAPN	B	1
1709	KPVZW	B	1
1710	LOLFC	B	1
1711	ESCIY	B	1
1712	RQSQD	B	1
1713	DLUZT	B	1
1714	KNTBA	B	1
1715	FKMCN	B	1
1716	DFIEB	B	1
1717	ZMBQV	B	1
1718	JRGKQ	B	1
1719	DOCQR	B	1
1720	OGKAI	B	1
1721	KUYHV	B	1
1722	QRUCI	B	1
1723	UFDHK	B	1
1724	HXJNT	B	1
1725	BWTSY	B	1
1726	BGLMR	B	1
1727	MUOCO	B	1
1728	BISND	B	1
1729	DPWGQ	B	1
1730	YDPZO	B	1
1731	DDKFS	B	1
1732	UGCDR	B	1
1733	QDKMK	B	1
1734	UAKKL	B	1
1735	VWTNZ	B	1
1736	SRVGS	B	1
1737	XIHOD	B	1
1738	EQXCE	B	1
1739	PQDHT	B	1
1740	ISULG	B	1
1741	GZBCN	B	1
1742	EZRWG	B	1
1743	ZEUVY	B	1
1744	NMYAS	B	1
1745	HEIHQ	B	1
1746	TZDLW	B	1
1747	KTCKR	B	1
1748	RTTQE	B	1
